Class,SourceName,FlowName,FlowAmount,Unit,FlowType,ActivityProducedBy,ActivityConsumedBy,Compartment,Location,LocationSystem,Year,MeasureofSpread,Spread,DistributionType,Min,Max,DataReliability,DataCollection,Description
Other,EPA_WFR,Food Waste,83586.0,short tons,WASTE_FLOW,Colleges & Universities,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,28192.0,short tons,WASTE_FLOW,Colleges & Universities,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,97285.0,short tons,WASTE_FLOW,Colleges & Universities,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,404043.0,short tons,WASTE_FLOW,Colleges & Universities,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,60079.0,short tons,WASTE_FLOW,Correctional Facilities,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,20263.0,short tons,WASTE_FLOW,Correctional Facilities,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,69925.0,short tons,WASTE_FLOW,Correctional Facilities,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,290412.0,short tons,WASTE_FLOW,Correctional Facilities,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,58085.0,short tons,WASTE_FLOW,Food Banks,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,17919.0,short tons,WASTE_FLOW,Food Banks,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,68632.0,short tons,WASTE_FLOW,Food Banks,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,281420.0,short tons,WASTE_FLOW,Food Banks,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,41114.0,short tons,WASTE_FLOW,Hospitals,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,13867.0,short tons,WASTE_FLOW,Hospitals,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,47853.0,short tons,WASTE_FLOW,Hospitals,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,198742.0,short tons,WASTE_FLOW,Hospitals,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,166269.0,short tons,WASTE_FLOW,Hotels,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,56079.0,short tons,WASTE_FLOW,Hotels,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,193520.0,short tons,WASTE_FLOW,Hotels,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,803725.0,short tons,WASTE_FLOW,Hotels,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,169645.0,short tons,WASTE_FLOW,K-12 Schools,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,57218.0,short tons,WASTE_FLOW,K-12 Schools,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,197449.0,short tons,WASTE_FLOW,K-12 Schools,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,820041.0,short tons,WASTE_FLOW,K-12 Schools,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,20163362.0,short tons,WASTE_FLOW,Manufacturing/Processing,Animal Feed,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,345461.0,short tons,WASTE_FLOW,Manufacturing/Processing,Bio-based Materials/Biochemical Processing,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,5428899.0,short tons,WASTE_FLOW,Manufacturing/Processing,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,862707.0,short tons,WASTE_FLOW,Manufacturing/Processing,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,194736.0,short tons,WASTE_FLOW,Manufacturing/Processing,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,2606718.0,short tons,WASTE_FLOW,Manufacturing/Processing,Food Donation,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,8884645.0,short tons,WASTE_FLOW,Manufacturing/Processing,Land Application,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1334720.0,short tons,WASTE_FLOW,Manufacturing/Processing,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,8367.0,short tons,WASTE_FLOW,Military Installations,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,2822.0,short tons,WASTE_FLOW,Military Installations,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,9738.0,short tons,WASTE_FLOW,Military Installations,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,40445.0,short tons,WASTE_FLOW,Military Installations,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,61502.0,short tons,WASTE_FLOW,Nursing Homes,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,20744.0,short tons,WASTE_FLOW,Nursing Homes,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,71583.0,short tons,WASTE_FLOW,Nursing Homes,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,297295.0,short tons,WASTE_FLOW,Nursing Homes,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,554208.0,short tons,WASTE_FLOW,Office Buildings,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,186923.0,short tons,WASTE_FLOW,Office Buildings,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,645041.0,short tons,WASTE_FLOW,Office Buildings,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,2678972.0,short tons,WASTE_FLOW,Office Buildings,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,830469.0,short tons,WASTE_FLOW,Residential,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,3795992.0,short tons,WASTE_FLOW,Residential,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,16585172.0,short tons,WASTE_FLOW,Residential,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,3743229.0,short tons,WASTE_FLOW,Residential,Sewer/Wastewater Treatment,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,3091.0,short tons,WASTE_FLOW,Restaurants/Food Services,Animal Feed,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1284757.0,short tons,WASTE_FLOW,Restaurants/Food Services,Bio-based Materials/Biochemical Processing,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,2330023.0,short tons,WASTE_FLOW,Restaurants/Food Services,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,194219.0,short tons,WASTE_FLOW,Restaurants/Food Services,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1984997.0,short tons,WASTE_FLOW,Restaurants/Food Services,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,2606718.0,short tons,WASTE_FLOW,Restaurants/Food Services,Food Donation,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,8687030.0,short tons,WASTE_FLOW,Restaurants/Food Services,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1243572.0,short tons,WASTE_FLOW,Retail,Animal Feed,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,382054.0,short tons,WASTE_FLOW,Retail,Bio-based Materials/Biochemical Processing,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1183781.0,short tons,WASTE_FLOW,Retail,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,797591.0,short tons,WASTE_FLOW,Retail,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,250263.0,short tons,WASTE_FLOW,Retail,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1789091.0,short tons,WASTE_FLOW,Retail,Food Donation,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,178070.0,short tons,WASTE_FLOW,Retail,Land Application,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,2858671.0,short tons,WASTE_FLOW,Retail,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,5202.0,short tons,WASTE_FLOW,Sports Venues,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1754.0,short tons,WASTE_FLOW,Sports Venues,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,6054.0,short tons,WASTE_FLOW,Sports Venues,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,25144.0,short tons,WASTE_FLOW,Sports Venues,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,568321.0,short tons,WASTE_FLOW,Wholesale,Animal Feed,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,174601.0,short tons,WASTE_FLOW,Wholesale,Bio-based Materials/Biochemical Processing,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,540996.0,short tons,WASTE_FLOW,Wholesale,Codigestion/Anaerobic Digestion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,364504.0,short tons,WASTE_FLOW,Wholesale,Composting/Aerobic Processes,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,114372.0,short tons,WASTE_FLOW,Wholesale,Controlled Combustion,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,817626.0,short tons,WASTE_FLOW,Wholesale,Food Donation,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,81379.0,short tons,WASTE_FLOW,Wholesale,Land Application,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
Other,EPA_WFR,Food Waste,1306431.0,short tons,WASTE_FLOW,Wholesale,Landfill,,"=""00000""",FIPS_2015,2018,,0.0,,0.0,0.0,0.0,0.0,Excess food and food waste managed by sector (Tons)
